,id,headline,about,url,modified_date,published_date,primary_tag,secondary_tag
661,p4zv1z,EPL preview: Who can catch Manchester City at the top?,"A look at all the key signings, team previews and star players for the upcoming English Premier League season. ",https://theage.com.au//sport/soccer/epl-preview-who-can-catch-manchester-city-at-the-top-20180802-p4zv1z.html,2018-08-09T22:29:32Z,2018-08-04T09:33:49Z,EPL,[]
662,p4zvhf,Anthony Martial makes United return,"Anthony Martial returned to training at Manchester United on Friday, although the France international's summer of discontent shows no sign of ending.",https://theage.com.au//sport/soccer/anthony-martial-makes-united-return-20180804-p4zvhf.html,2018-08-03T22:20:14Z,2018-08-03T23:00:00Z,EPL,[]
663,p4zv2s,Former Arsenal star linked with A-League move,"Brisbane Roar are reportedly set to get a huge boost to their midfield, with reports the club is close to a deal with former Arsenal star Mathieu Flamini.

",https://theage.com.au//sport/soccer/former-arsenal-star-linked-with-a-league-move-20180802-p4zv2s.html,2018-08-02T04:05:32Z,2018-08-02T02:00:46Z,EPL,[]
664,p4zu8p,"Arsenal, Liverpool record big wins in International Champions Cup","The ICC was a high-scoring affair overnight as Arsenal outplayed Paris Saint-Germain, while Manchester United v Liverpool attracted more than 100,000 fans.",https://theage.com.au//sport/soccer/arsenal-liverpool-record-big-wins-in-international-champions-cup-20180729-p4zu8p.html,2018-07-29T00:42:07Z,2018-07-29T00:42:07Z,EPL,[]
665,p4ztox,Arzani set for Celtic loan move: reports,"Socceroos sensation Daniel Arzani could be lining up alongside Tom Rogic for the next two seasons as he reportedly nears a loan switch to Celtic.

",https://theage.com.au//sport/soccer/arzani-set-for-celtic-loan-move-reports-20180726-p4ztox.html,2018-07-26T06:35:41Z,2018-07-26T01:11:10Z,EPL,[]
666,p4ztno,Martial's future in doubt after tour exit,"Anthony Martial is edging closer to being sold by Manchester United after he decided to leave the club's United States tour early.

",https://theage.com.au//sport/soccer/martial-s-future-in-doubt-after-tour-exit-20180726-p4ztno.html,2018-07-25T22:03:23Z,2018-07-25T23:00:00Z,EPL,[]
667,p4ztiw,"Arsenal manager respects Ozil's Germany choice, says Gunners are his 'home'","New Arsenal manager Unai Emery says he respects Mesut Ozil's decision to retire from the international game due to what the German says was ""racism and disrespect"".",https://theage.com.au//sport/soccer/arsenal-manager-respects-ozil-s-germany-choice-says-gunners-are-his-home-20180725-p4ztiw.html,2018-07-25T05:56:51Z,2018-07-25T05:56:51Z,Germany,['EPL']
668,p4ztfg,Man United to start season at disadvantage says Mourinho,The Portuguese coach said the inability to train with a full squad could prove costly when United host Leicester City on August 10th.,https://theage.com.au//sport/soccer/man-united-to-start-season-at-disadvantage-says-mourinho-20180725-p4ztfg.html,2018-07-24T23:38:32Z,2018-07-24T23:38:32Z,EPL,[]
669,p4ztff,Everton sign Brazilian forward Richarlison from Watford,Everton have signed Richarlison from fellow Premier League outfit Watford after manager Marco Silva returned to his old club for his first purchase.,https://theage.com.au//sport/soccer/everton-sign-brazilian-forward-richarlison-from-watford-20180725-p4ztff.html,2018-07-24T23:35:14Z,2018-07-24T23:35:14Z,EPL,[]
670,p4zss5,Leicester sign goalkeeper Ward from Liverpool,"Leicester City have signed goalkeeper Danny Ward from Liverpool on a four-year contract, both clubs confirmed on Friday.

",https://theage.com.au//sport/soccer/leicester-sign-goalkeeper-ward-from-liverpool-20180721-p4zss5.html,2018-07-20T22:34:55Z,2018-07-20T22:34:41Z,EPL,[]
671,p4zsjw,Sterling concern over new Man City contract,Raheem Sterling fears his chances of earning a new deal at Manchester City have receded.,https://theage.com.au//sport/soccer/sterling-concern-over-new-man-city-contract-20180720-p4zsjw.html,2018-07-19T22:08:44Z,2018-07-19T23:00:00Z,EPL,[]
672,p4zsjz,Liverpool sign goalkeeper Alisson for world record fee,"Liverpool signed Brazil international Alisson from AS Roma on Thursday, smashing the world record for a goalkeeper.",https://theage.com.au//sport/soccer/liverpool-sign-goalkeeper-alisson-for-world-record-fee-20180720-p4zsjz.html,2018-07-19T22:06:30Z,2018-07-19T22:06:30Z,EPL,[]
